Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
Carl E. Walz,1990,13,Retired,06-09-1955,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Carl J. Meade,1985,11,Retired,16-11-1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
Carlos I. Noriega,1995,15,Retired,08-10-1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Catherine G. Coleman,1992,14,Active,14-12-1960,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Charles A. Bassett II,1963,3,Deceased,30-12-1931,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,Polymer Science & Engineering,Captain,US Air Force,0,0,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",28-02-1966,T-38 Talon jet aircraft
Charles Conrad Jr.,1962,2,Deceased,02-05-1930,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,Polymer Science & Engineering,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",08-07-1999,Motorcycle accident
Charles D. Gemar,1985,11,Retired,04-08-1955,"Yanktown, SD",Male,US Military Academy,Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Charles D. Walker,1985,11,Retired,29-08-1948,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
Charles E. Brady Jr.,1992,14,Deceased,12-08-1951,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; Duke University,Aeronautical & Astronautical Engineering,Medicine,Captain,US Navy,1,405,0,0,STS-78 (Columbia),23-07-2006,Natural causes
Charles F. Bolden Jr.,1980,9,Management,19-08-1946,"Columbia, SC",Male,US Naval Academy; University of Southern California,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
Charles J. Camarda,1996,16,Management,08-05-1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,Major General,US Marine Corps (Retired),1,333,0,0,STS-114 (Discovery),,
Charles J. Precourt,1990,13,Retired,29-06-1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
Charles Lacy Veach,1984,10,Deceased,18-09-1944,"Chicago, IL",Male,US Air Force Academy,Engineering Management,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",01-07-2012,Due to cancer
Charles M. Duke Jr.,1966,5,Retired,03-10-1935,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
Charles O. Hobaugh,1996,16,Retired,05-11-1961,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,Aeronautics,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Christopher J. Cassidy,2004,19,Active,04-01-1970,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Christopher J. Ferguson,1998,17,Retired,01-09-1961,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Christopher J. Loria,1996,16,Retired,09-07-1960,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Clayton C. Anderson,1998,17,Retired,23-02-1959,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,Colonel,US Marine Corps (Retired),2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Clifton C. Williams Jr.,1963,3,Deceased,26-09-1932,"Mobile, AL",Male,Auburn University,Mechanical Engineering,Aerospace Engineering,Major,US Marine Corps,0,0,0,0,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",05-10-1967,T-38 jet trainer crash
Curtis L. Brown Jr.,1987,12,Retired,11-03-1956,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
Dale A. Gardner,1978,8,Retired,08-11-1948,"Fairmont, MN",Male,University of Illinois,Engineering Physics,Aerospace Engineering,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
Daniel C. Brandenstein,1978,8,Retired,17-01-1943,"Watertown, WI",Male,University of Wisconsin,Mathematics & Physics,Aerospace Engineering,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Daniel C. Burbank,1996,16,Active,27-07-1961,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Daniel M. Tani,1996,16,Retired,01-02-1961,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,Captain,US Coast Guard (Retired),2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Daniel T. Barry,1992,14,Retired,30-12-1953,"Norwalk, CT",Male,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,Captain,US Coast Guard (Retired),3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
Daniel W. Bursch,1990,13,Retired,25-07-1957,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
David A. Wolf,1990,13,Retired,23-08-1956,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,Captain,US Navy (Retired),3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
David C. Hilmers,1980,9,Retired,28-01-1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
David C. Leestma,1980,9,Management,06-05-1949,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
David M. Brown,1996,16,Deceased,16-04-1956,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),01-02-2003,STS-107 (Columbia)
David M. Walker,1978,8,Deceased,20-05-1944,"Columbus, GA",Male,US Naval Academy,Naval Sciences,Medicine,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",23-04-2001,Plane crash
David R. Scott,1963,3,Retired,06-06-1932,"San Antonio, TX",Male,US Military Academy; MIT,Naval Sciences,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Dominic A. Antonelli,2000,18,Active,23-08-1967,"Detroit, MI",Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",,
Dominic L. Gorie,1995,15,Retired,02-05-1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Don L. Lind,1966,5,Retired,18-05-1930,"Midvale, UT",Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,Captain,US Navy (Retired),1,168,0,0,STS 51-B (Challenger),,
Donald A. Thomas,1990,13,Retired,06-05-1955,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,Captain,US Navy (Retired),4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Donald E. Williams,1978,8,Retired,13-02-1958,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,Materials Science,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Donald H. Peterson,1969,7,Retired,22-10-1933,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,Mechanical Engineering,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),,
Donald K. Slayton,1959,1,Deceased,01-03-1924,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,Nuclear Engineering,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,13-06-1993,Natural causes
Donald L. Holmquest,1967,6,Retired,07-04-1939,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,Major,US Air Force Reserves,0,0,0,0,Apollo-Soyuz Test Project,,
Donald R. McMonagle,1987,12,Retired,14-05-1952,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
Donald R. Pettit,1996,16,Active,20-04-1955,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,Colonel,US Air Force (Retired),3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
Donn F. Eisele,1963,3,Deceased,23-05-1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,02-12-1987,Natural causes
Dorothy M. Metcalf-Lindenberger,2004,19,Active,02-05-1975,"Colorado Springs, CO",Female,Whitman College,Geology,Astronautics,Colonel,US Air Force (Retired),1,362,0,0,STS-131 (Discovery),,
Douglas G. Hurley,2000,18,Active,21-10-1966,"Endicott, NY",Male,Tulane University,Civil Engineering,Astronautics,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Douglas H. Wheelock,1998,17,Active,05-05-1960,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Duane E. Graveline,1965,4,Retired,02-03-1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,Applied Science & Engineering,Public Health; Medicine,Colonel,US Army,0,0,0,0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Duane G. Carey,1996,16,Retired,30-04-1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
E. Michael Fincke,1996,16,Active,14-03-1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Edgar D. Mitchell,1966,5,Retired,17-09-1930,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9,Apollo 14,,
Edward G. Gibson,1965,4,Retired,08-11-1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,Captain,US Navy (Retired),1,2017,3,15,Skylab 4,,
Edward G. Givens Jr.,1966,5,Deceased,05-01-1930,"Quanah, TX",Male,US Naval Academy,Naval Sciences,Engineering,Major,US Air Force,0,0,0,0,Skylab 4,06-06-1967,Automobile accident 
Edward H. White II,1962,2,Deceased,14-11-1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",27-01-1967,Apollo 1
Edward T. Lu,1995,15,Retired,01-07-1963,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,Lieutenant Colonel,US Air Force,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Eileen M. Collins,1990,13,Retired,19-11-1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Ellen Ochoa,1990,13,Management,10-05-1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,Colonel,US Air Force (Retired),4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
Ellen S. Baker,1984,10,Retired,27-04-1953,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,Colonel,US Air Force (Retired),3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Elliot M. See Jr.,1962,2,Deceased,23-07-1927,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,Geology,Engineering,Colonel,US Air Force (Retired),0,0,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",28-02-1966,T-38 jet aircraft
Ellison S. Onizuka,1978,8,Deceased,24-06-1946,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",28-01-1986,STS 51-L (Challenger)
Eric A. Boe,2000,18,Active,01-10-1964,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",,
Eugene A. Cernan,1963,3,Deceased,14-03-1934,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",16-01-2017,Natural causes
F. Andrew Gaffney,1963,3,Retired,09-06-1946,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,Captain,US Navy (Retired),1,218,0,0,STS-40 (Columbia),,
F. Curtis Michel,1965,4,Retired,05-06-1934,"LaCrosse, WI",Male,California Institute of Technology,Physics,Physics,Captain,US Navy (Retired),0,0,0,0,STS-40 (Columbia),,
Fernando Caldeiro,1996,16,Deceased,12-06-1958,"Buenos Aires, Argentina",Male,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,Captain,US Navy (Retired),0,0,0,0,STS-40 (Columbia),03-10-2009,
Francis R. Scobee,1978,8,Deceased,19-05-1939,"Cle Elum, WA",Male,University of Arizona,Aerospace Engineering,Engineering Management,Major,US Air Force (Retired),2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",28-01-1986,STS 51-L (Challenger)
Frank Borman,1962,2,Retired,14-03-1928,"Gary, IN",Male,US Military Academy; California Institute of Technology,Aerospace Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),2,477,0,0,"Gemini 7, Apollo 8",,
Frank L. Culbertson Jr.,1984,10,Retired,15-05-1949,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Franklin R. Chang-Diaz,1980,9,Retired,05-04-1950,"San Jose, Costa Rica",Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,Captain,US Navy (Retired),7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
Fred W. Haise Jr.,1966,5,Retired,14-11-1933,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,Applied Plasma Physics,Captain,US Navy (Retired),1,142,0,0,Apollo 13,,
Fred W. Leslie,1966,5,Retired,19-12-1951,"Ancon, Panama",Male,University of Texas; University of Oklahoma,Engineering Science,Meteorology,Captain,US Navy (Retired),1,381,0,0,STS-73 (Columbia),,
Frederick D. Gregory,1978,8,Retired,07-01-1941,"Washington, DC",Male,US Air Force Academy; George Washington University,Engineering Science,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
Frederick H. Hauck,1978,8,Retired,11-04-1941,"Long Beach, CA",Male,Tufts University; MIT,Physics,Nuclear Engineering,Captain,US Navy (Retired),3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
Frederick W. Sturckow,1995,15,Retired,11-08-1961,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,Nuclear Engineering,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
G. David Low,1984,10,Deceased,19-02-1956,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,Colonel,US Marine Corps (Retired),3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",15-03-2008,Natural causes
G. Reid Wiseman,2009,20,Active,11-11-1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
Garrett E. Reisman,1998,17,Retired,10-02-1968,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,Commander,US Navy,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Gary E. Payton,1998,17,Retired,20-06-1948,"Rock Island, IL",Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
George D. Nelson,1978,8,Retired,13-07-1950,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Major,US Air Force,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
